1548933460.076558,0
1548933460.089058,0
1548933460.101391,3
1548933460.113903,16
1548933460.126134,0
1548933460.138302,4
1548933460.152047,1
1548933460.164342,0
1548933460.177041,2
1548933460.190410,0
1548933460.204192,3
1548933460.217507,3
1548933460.230866,1
1548933460.244397,2
1548933460.257826,2
1548933460.271668,0
1548933460.284821,1
1548933460.298206,7
1548933460.311761,5
1548933460.325135,4
1548933460.338809,3
1548933460.352705,3
1548933460.366454,3
1548933460.379753,0
1548933460.394221,3
1548933460.408214,6
1548933460.422006,6
1548933460.435452,2
1548933460.449133,2
1548933460.462653,1
1548933460.476126,3
1548933460.489890,3
1548933460.503376,0
1548933460.516739,2
1548933460.530130,0
1548933460.543297,0
1548933460.557004,1
1548933460.570293,0
1548933460.583856,3
1548933460.597610,3
1548933460.611449,0
1548933460.624765,1
1548933460.638123,2
1548933460.651499,6
1548933460.665302,5
1548933460.678898,8
1548933460.692506,0
1548933460.706227,2
1548933460.719687,4
1548933460.733330,5
1548933460.746717,3
1548933460.760399,0
1548933460.773797,2
1548933460.787098,2
1548933460.800612,6
1548933460.813768,2
1548933460.827319,1
1548933460.841066,3
1548933460.854634,2
1548933460.868055,3
1548933460.881590,9
1548933460.895299,2
1548933460.908770,0
1548933460.922434,4
1548933460.935736,4
1548933460.949136,1
1548933460.962433,0
1548933460.976337,4
1548933460.989961,2
1548933461.003497,4
1548933461.016929,2
1548933461.030457,0
1548933461.043913,0
1548933461.057146,1
1548933461.070556,3
1548933461.083977,2
1548933461.097859,2
1548933461.111805,3
1548933461.125152,6
1548933461.138292,2
1548933461.151983,2
1548933461.165473,0
1548933461.178995,1
1548933461.192435,0
1548933461.204335,0
1548933461.217200,0
1548933461.230802,1
1548933461.243879,2
1548933461.257967,4
1548933461.271441,3
1548933461.285146,2
1548933461.298744,2
1548933461.312583,1
1548933461.325997,2
1548933461.339571,3
1548933461.353179,7
1548933461.367044,4
1548933461.380717,5
1548933461.394106,9
1548933461.407482,5
1548933461.420886,1
1548933461.434323,2
1548933461.447453,1
1548933461.460947,3
1548933461.474344,2
1548933461.487786,3
1548933461.501286,4
1548933461.514851,3
1548933461.528480,4
1548933461.542233,0
1548933461.555829,3
1548933461.569908,3
1548933461.584204,0
1548933461.598045,3
1548933461.611664,7
1548933461.625107,5
1548933461.638481,0
1548933461.651922,2
1548933461.665139,3
1548933461.678676,5
1548933461.692371,5
1548933461.705849,6
1548933461.719250,4
1548933461.732831,0
1548933461.746177,1
1548933461.759663,1
1548933461.773204,4
1548933461.786934,4
1548933461.800810,7
1548933461.814167,4
1548933461.827827,1
1548933461.841255,2
1548933461.854487,2
1548933461.868590,0
1548933461.882149,0
1548933461.895913,3
