PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=6.08 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=5.26 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=5.45 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=6.05 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=5.73 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=5.60 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=5.49 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=5.51 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=5.39 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=5.52 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=5.63 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=5.09 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=4.97 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=5.42 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=5.07 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=4.81 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=5.83 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=5.51 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=5.68 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=5.27 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=5.60 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=5.55 ms
64 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=5.63 ms
64 bytes from 10.0.0.1: icmp_seq=51 ttl=64 time=5.40 ms
64 bytes from 10.0.0.1: icmp_seq=53 ttl=64 time=6.32 ms
64 bytes from 10.0.0.1: icmp_seq=54 ttl=64 time=5.76 ms
64 bytes from 10.0.0.1: icmp_seq=55 ttl=64 time=5.04 ms
64 bytes from 10.0.0.1: icmp_seq=58 ttl=64 time=5.03 ms
64 bytes from 10.0.0.1: icmp_seq=60 ttl=64 time=4.99 ms
