PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=2.63 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=2.17 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=2.08 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=2.14 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=2.08 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=2.55 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=2.09 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=2.52 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=2.08 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=2.02 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=2.04 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=2.05 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=2.15 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=2.06 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=2.06 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=2.11 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=2.37 ms
